Variable,Default,Verbose Type,Notes
S_0,1E+06,initial value of state variable,approximate population of Canada
R_0,0,initial value of state variable,
E_0,1,initial value of state variable,initial exposed individual
I_0,1,initial value of state variable,
H_0,0,initial value of state variable,
D_0,0,initial value of state variable,
transmission_0, 1.5, per-capita flow rate,
infection_0, 0.2, per-capita flow rate,
progression_0, 0.2, per-capita flow rate,
recovery_0, 0.1, per-capita flow rate,
hospitalization_0, 0.1, per-capita flow rate,
discharge_0, 0.1, per-capita flow rate,
deathH_0, 0.01, per-capita flow rate,
deathI_0, 0.01, per-capita flow rate,
S_5,1E+06,initial value of state variable,approximate population of Canada
R_5,0,initial value of state variable,
E_5,1,initial value of state variable,initial exposed individual
I_5,1,initial value of state variable,
H_5,0,initial value of state variable,
D_5,0,initial value of state variable,
transmission_5, 1.5, per-capita flow rate,
infection_5, 0.2, per-capita flow rate,
progression_5, 0.2, per-capita flow rate,
recovery_5, 0.1, per-capita flow rate,
hospitalization_5, 0.1, per-capita flow rate,
discharge_5, 0.1, per-capita flow rate,
deathH_5, 0.01, per-capita flow rate,
deathI_5, 0.01, per-capita flow rate,
S_10,1E+06,initial value of state variable,approximate population of Canada
R_10,0,initial value of state variable,
E_10,1,initial value of state variable,initial exposed individual
I_10,1,initial value of state variable,
H_10,0,initial value of state variable,
D_10,0,initial value of state variable,
transmission_10, 1.5, per-capita flow rate,
infection_10, 0.2, per-capita flow rate,
progression_10, 0.2, per-capita flow rate,
recovery_10, 0.1, per-capita flow rate,
hospitalization_10, 0.1, per-capita flow rate,
discharge_10, 0.1, per-capita flow rate,
deathH_10, 0.01, per-capita flow rate,
deathI_10, 0.01, per-capita flow rate,
S_15,1E+06,initial value of state variable,approximate population of Canada
R_15,0,initial value of state variable,
E_15,1,initial value of state variable,initial exposed individual
I_15,1,initial value of state variable,
H_15,0,initial value of state variable,
D_15,0,initial value of state variable,
transmission_15, 1.5, per-capita flow rate,
infection_15, 0.2, per-capita flow rate,
progression_15, 0.2, per-capita flow rate,
recovery_15, 0.1, per-capita flow rate,
hospitalization_15, 0.1, per-capita flow rate,
discharge_15, 0.1, per-capita flow rate,
deathH_15, 0.01, per-capita flow rate,
deathI_15, 0.01, per-capita flow rate,
S_20,1E+06,initial value of state variable,approximate population of Canada
R_20,0,initial value of state variable,
E_20,1,initial value of state variable,initial exposed individual
I_20,1,initial value of state variable,
H_20,0,initial value of state variable,
D_20,0,initial value of state variable,
transmission_20, 1.5, per-capita flow rate,
infection_20, 0.2, per-capita flow rate,
progression_20, 0.2, per-capita flow rate,
recovery_20, 0.1, per-capita flow rate,
hospitalization_20, 0.1, per-capita flow rate,
discharge_20, 0.1, per-capita flow rate,
deathH_20, 0.01, per-capita flow rate,
deathI_20, 0.01, per-capita flow rate,
S_25,1E+06,initial value of state variable,approximate population of Canada
R_25,0,initial value of state variable,
E_25,1,initial value of state variable,initial exposed individual
I_25,1,initial value of state variable,
H_25,0,initial value of state variable,
D_25,0,initial value of state variable,
transmission_25, 1.5, per-capita flow rate,
infection_25, 0.2, per-capita flow rate,
progression_25, 0.2, per-capita flow rate,
recovery_25, 0.1, per-capita flow rate,
hospitalization_25, 0.1, per-capita flow rate,
discharge_25, 0.1, per-capita flow rate,
deathH_25, 0.01, per-capita flow rate,
deathI_25, 0.01, per-capita flow rate,
S_30,1E+06,initial value of state variable,approximate population of Canada
R_30,0,initial value of state variable,
E_30,1,initial value of state variable,initial exposed individual
I_30,1,initial value of state variable,
H_30,0,initial value of state variable,
D_30,0,initial value of state variable,
transmission_30, 1.5, per-capita flow rate,
infection_30, 0.2, per-capita flow rate,
progression_30, 0.2, per-capita flow rate,
recovery_30, 0.1, per-capita flow rate,
hospitalization_30, 0.1, per-capita flow rate,
discharge_30, 0.1, per-capita flow rate,
deathH_30, 0.01, per-capita flow rate,
deathI_30, 0.01, per-capita flow rate,
S_35,1E+06,initial value of state variable,approximate population of Canada
R_35,0,initial value of state variable,
E_35,1,initial value of state variable,initial exposed individual
I_35,1,initial value of state variable,
H_35,0,initial value of state variable,
D_35,0,initial value of state variable,
transmission_35, 1.5, per-capita flow rate,
infection_35, 0.2, per-capita flow rate,
progression_35, 0.2, per-capita flow rate,
recovery_35, 0.1, per-capita flow rate,
hospitalization_35, 0.1, per-capita flow rate,
discharge_35, 0.1, per-capita flow rate,
deathH_35, 0.01, per-capita flow rate,
deathI_35, 0.01, per-capita flow rate,
S_40,1E+06,initial value of state variable,approximate population of Canada
R_40,0,initial value of state variable,
E_40,1,initial value of state variable,initial exposed individual
I_40,1,initial value of state variable,
H_40,0,initial value of state variable,
D_40,0,initial value of state variable,
transmission_40, 1.5, per-capita flow rate,
infection_40, 0.2, per-capita flow rate,
progression_40, 0.2, per-capita flow rate,
recovery_40, 0.1, per-capita flow rate,
hospitalization_40, 0.1, per-capita flow rate,
discharge_40, 0.1, per-capita flow rate,
deathH_40, 0.01, per-capita flow rate,
deathI_40, 0.01, per-capita flow rate,
S_45,1E+06,initial value of state variable,approximate population of Canada
R_45,0,initial value of state variable,
E_45,1,initial value of state variable,initial exposed individual
I_45,1,initial value of state variable,
H_45,0,initial value of state variable,
D_45,0,initial value of state variable,
transmission_45, 1.5, per-capita flow rate,
infection_45, 0.2, per-capita flow rate,
progression_45, 0.2, per-capita flow rate,
recovery_45, 0.1, per-capita flow rate,
hospitalization_45, 0.1, per-capita flow rate,
discharge_45, 0.1, per-capita flow rate,
deathH_45, 0.01, per-capita flow rate,
deathI_45, 0.01, per-capita flow rate,
S_50,1E+06,initial value of state variable,approximate population of Canada
R_50,0,initial value of state variable,
E_50,1,initial value of state variable,initial exposed individual
I_50,1,initial value of state variable,
H_50,0,initial value of state variable,
D_50,0,initial value of state variable,
transmission_50, 1.5, per-capita flow rate,
infection_50, 0.2, per-capita flow rate,
progression_50, 0.2, per-capita flow rate,
recovery_50, 0.1, per-capita flow rate,
hospitalization_50, 0.1, per-capita flow rate,
discharge_50, 0.1, per-capita flow rate,
deathH_50, 0.01, per-capita flow rate,
deathI_50, 0.01, per-capita flow rate,
S_55,1E+06,initial value of state variable,approximate population of Canada
R_55,0,initial value of state variable,
E_55,1,initial value of state variable,initial exposed individual
I_55,1,initial value of state variable,
H_55,0,initial value of state variable,
